Time,F1,F2,F1 + F2
0,0,1,1
0.0001,0.248689887164855,0.951056516295153,1.19974640346001
0.0002,0.481753674101715,0.809016994374947,1.29077066847666
0.0003,0.684547105928689,0.587785252292473,1.27233235822116
0.0004,0.844327925502015,0.309016994374947,1.15334491987696
0.0005,0.951056516295153,6.12323399573677E-17,0.951056516295154
0.0006,0.998026728428271,-0.309016994374947,0.689009734053324
0.0007,0.982287250728689,-0.587785252292473,0.394501998436216
0.0008,0.904827052466019,-0.809016994374948,0.095810058091072
0.0009,0.770513242775789,-0.951056516295154,-0.180543273519365
0.001,0.587785252292473,-1,-0.412214747707528
0.0011,0.368124552684677,-0.951056516295153,-0.582931963610476
0.0012,0.125333233564303,-0.809016994374947,-0.683683760810644
0.0013,-0.125333233564305,-0.587785252292473,-0.713118485856778
0.0014,-0.368124552684679,-0.309016994374947,-0.677141547059626
0.0015,-0.587785252292474,7.04481399828022E-16,-0.587785252292473
0.0016,-0.77051324277579,0.309016994374948,-0.461496248400842
0.0017,-0.90482705246602,0.587785252292474,-0.317041800173546
0.0018,-0.982287250728689,0.809016994374948,-0.173270256353741
0.0019,-0.998026728428271,0.951056516295154,-0.046970212133117
0.002,-0.951056516295153,1,0.048943483704847
0.0021,-0.844327925502014,0.951056516295153,0.106728590793139
0.0022,-0.684547105928688,0.809016994374947,0.124469888446259
0.0023,-0.481753674101715,0.587785252292474,0.106031578190759
0.0024,-0.248689887164855,0.309016994374949,0.060327107210093
0.0025,-1.1331077795296E-15,2.08251853918709E-15,9.49410759657493E-16
0.0026,0.248689887164853,-0.309016994374945,-0.060327107210092
0.0027,0.481753674101713,-0.58778525229247,-0.106031578190757
0.0028,0.684547105928687,-0.809016994374945,-0.124469888446258
0.0029,0.844327925502014,-0.951056516295152,-0.106728590793139
0.003,0.951056516295153,-1,-0.048943483704847
0.0031,0.998026728428271,-0.951056516295155,0.046970212133116
0.0032,0.982287250728689,-0.809016994374951,0.173270256353739
0.0033,0.904827052466021,-0.587785252292478,0.317041800173544
0.0034,0.770513242775792,-0.309016994374955,0.461496248400837
0.0035,0.587785252292478,-7.53405373730257E-15,0.58778525229247
0.0036,0.368124552684683,0.30901699437494,0.677141547059623
0.0037,0.125333233564311,0.587785252292466,0.713118485856776
