Index,Coefficient
0,0.004447483805618
1,0.006336768541388
2,0.003119598220274
3,0.006899654123107
4,0.00588587808316
5,0.007883170043868
6,0.007548869070239
7,0.008369567935834
8,0.007921824091406
9,0.007775467598134
10,0.006848976164502
11,0.005876491734114
12,0.004413986735669
13,0.002839669942939
14,0.001028303706447
15,-0.0007858602386
16,-0.002581228031866
17,-0.004179573389313
18,-0.005515290721854
19,-0.006452562873691
20,-0.006934989150839
21,-0.006892590565454
22,-0.006310173515328
23,-0.005201231444639
24,-0.003620035389538
25,-0.001652257653925
26,0.00057150908449
27,0.002905624696287
28,0.0051782858448
29,0.007209686875321
30,0.008829907729501
31,0.009884426903252
32,0.010237591532827
33,0.009814736763205
34,0.008575914233268
35,0.006539271687983
36,0.003791949809465
37,0.000473690947331
38,-0.003221504450813
39,-0.007055454772606
40,-0.010743936747823
41,-0.014001056979786
42,-0.016528092980484
43,-0.018046830337128
44,-0.018306432815917
45,-0.017119531751982
46,-0.014362180750119
47,-0.009979551840531
48,-0.004012682746484
49,0.003414355073319
50,0.012085864810104
51,0.021720999061507
52,0.031966077221794
53,0.042421675123199
54,0.052653868554666
55,0.062229093665595
56,0.070729973404002
57,0.077778327200671
58,0.083060240533131
59,0.086329451358424
60,0.08743697064219
61,0.086329451358424
62,0.083060240533131
63,0.077778327200671
64,0.070729973404002
65,0.062229093665595
66,0.052653868554666
67,0.042421675123199
68,0.031966077221794
69,0.021720999061507
70,0.012085864810104
71,0.003414355073319
72,-0.004012682746484
73,-0.009979551840531
74,-0.014362180750119
75,-0.017119531751982
76,-0.018306432815917
77,-0.018046830337128
78,-0.016528092980484
79,-0.014001056979786
80,-0.010743936747823
81,-0.007055454772606
82,-0.003221504450813
83,0.000473690947331
84,0.003791949809465
85,0.006539271687983
86,0.008575914233268
87,0.009814736763205
88,0.010237591532827
89,0.009884426903252
90,0.008829907729501
91,0.007209686875321
92,0.0051782858448
93,0.002905624696287
94,0.00057150908449
95,-0.001652257653925
96,-0.003620035389538
97,-0.005201231444639
98,-0.006310173515328
99,-0.006892590565454
100,-0.006934989150839
101,-0.006452562873691
102,-0.005515290721854
103,-0.004179573389313
104,-0.002581228031866
105,-0.0007858602386
106,0.001028303706447
107,0.002839669942939
108,0.004413986735669
109,0.005876491734114
110,0.006848976164502
111,0.007775467598134
112,0.007921824091406
113,0.008369567935834
114,0.007548869070239
115,0.007883170043868
116,0.00588587808316
117,0.006899654123107
118,0.003119598220274
119,0.006336768541388
120,0.004447483805618
