Time,F1,F2,F1
0,0,0.5,0
0.0001,0.0936906572928623,0.484291580564316,0.374762629171449
0.0002,0.184062276342339,0.438153340021932,0.736249105369356
0.0003,0.267913397489498,0.364484313710706,1.07165358995799
0.0004,0.342273552964344,0.267913397489498,1.36909421185738
0.0005,0.404508497187474,0.154508497187474,1.6180339887499
0.0006,0.45241352623301,0.0313952597646566,1.80965410493204
0.0007,0.484291580564316,-0.0936906572928624,1.93716632225726
0.0008,0.499013364214136,-0.212889645782537,1.99605345685654
0.0009,0.496057350657239,-0.318711994874345,1.98422940262896
0.001,0.475528258147577,-0.404508497187474,1.90211303259031
0.0011,0.438153340021932,-0.464888242944126,1.75261336008773
0.0012,0.385256621387894,-0.496057350657239,1.54102648555158
0.0013,0.318711994874345,-0.496057350657239,1.27484797949738
0.0014,0.240876837050857,-0.464888242944125,0.963507348203431
0.0015,0.154508497187473,-0.404508497187473,0.618033988749895
0.0016,0.0626666167821518,-0.318711994874344,0.250666467128608
0.0017,-0.0313952597646571,-0.212889645782536,-0.125581039058626
0.0018,-0.124344943582428,-0.0936906572928614,-0.497379774329709
0.0019,-0.212889645782537,0.0313952597646573,-0.851558583130145
0.002,-0.293892626146237,0.154508497187474,-1.17557050458495
0.0021,-0.364484313710706,0.267913397489499,-1.45793725484282
0.0022,-0.422163962751008,0.364484313710706,-1.68865585100403
0.0023,-0.464888242944126,0.438153340021932,-1.8595529717765
0.0024,-0.491143625364344,0.484291580564315,-1.96457450145738
0.0025,-0.5,0.5,-2
0.0026,-0.491143625364344,0.484291580564316,-1.96457450145738
0.0027,-0.464888242944126,0.438153340021932,-1.8595529717765
0.0028,-0.422163962751008,0.364484313710706,-1.68865585100403
0.0029,-0.364484313710707,0.267913397489499,-1.45793725484282
0.003,-0.293892626146238,0.154508497187475,-1.17557050458495
0.0031,-0.212889645782538,0.0313952597646584,-0.851558583130146
0.0032,-0.124344943582429,-0.0936906572928608,-0.497379774329709
0.0033,-0.0313952597646584,-0.212889645782534,-0.125581039058628
0.0034,0.0626666167821503,-0.318711994874343,0.250666467128607
0.0035,0.154508497187471,-0.404508497187472,0.618033988749894
0.0036,0.240876837050855,-0.464888242944125,0.96350734820343
0.0037,0.318711994874343,-0.496057350657239,1.27484797949738
0.0038,0.385256621387893,-0.496057350657239,1.54102648555158
0.0039,0.43815334002193,-0.464888242944127,1.75261336008773
0.004,0.475528258147576,-0.404508497187475,1.90211303259031
0.0041,0.496057350657239,-0.318711994874347,1.98422940262896
0.0042,0.499013364214136,-0.212889645782539,1.99605345685654
0.0043,0.484291580564316,-0.0936906572928646,1.93716632225726
0.0044,0.45241352623301,0.0313952597646545,1.80965410493204
0.0045,0.404508497187474,0.154508497187473,1.6180339887499
0.0046,0.342273552964345,0.267913397489497,1.36909421185738
0.0047,0.267913397489499,0.364484313710705,1.07165358995799
0.0048,0.18406227634234,0.438153340021932,0.736249105369359
0.0049,0.0936906572928628,0.484291580564315,0.374762629171451
0.005,1.83697019872103E-16,0.5,7.34788079488412E-16
0.0051,-0.0936906572928625,0.484291580564315,-0.37476262917145
0.0052,-0.184062276342339,0.438153340021931,-0.736249105369355
0.0053,-0.267913397489499,0.364484313710705,-1.07165358995799
0.0054,-0.342273552964345,0.267913397489497,-1.36909421185738
0.0055,-0.404508497187474,0.154508497187472,-1.61803398874989
0.0056,-0.45241352623301,0.0313952597646541,-1.80965410493204
0.0057,-0.484291580564316,-0.093690657292865,-1.93716632225726
0.0058,-0.499013364214136,-0.212889645782539,-1.99605345685654
0.0059,-0.496057350657239,-0.318711994874347,-1.98422940262896
0.006,-0.475528258147576,-0.404508497187476,-1.90211303259031
0.0061,-0.43815334002193,-0.464888242944127,-1.75261336008773
0.0062,-0.385256621387893,-0.49605735065724,-1.54102648555158
0.0063,-0.318711994874343,-0.496057350657238,-1.27484797949738
0.0064,-0.240876837050855,-0.464888242944124,-0.96350734820343
0.0065,-0.154508497187471,-0.404508497187471,-0.618033988749896
0.0066,-0.0626666167821485,-0.31871199487434,-0.250666467128612
0.0067,0.0313952597646607,-0.212889645782531,0.125581039058625
0.0068,0.124344943582432,-0.093690657292856,0.497379774329706
0.00690000000000001,0.212889645782541,0.0313952597646624,0.851558583130178
0.00700000000000001,0.293892626146241,0.15450849718748,1.17557050458497
0.00710000000000001,0.364484313710709,0.267913397489505,1.45793725484285
0.00720000000000001,0.42216396275101,0.364484313710711,1.68865585100405
0.00730000000000001,0.464888242944128,0.438153340021936,1.85955297177652
0.00740000000000001,0.491143625364345,0.484291580564317,1.96457450145738
0.00750000000000001,0.5,0.5,2
0.00760000000000001,0.491143625364343,0.484291580564313,1.96457450145737
0.00770000000000001,0.464888242944123,0.438153340021928,1.85955297177649
0.00780000000000001,0.422163962751004,0.364484313710699,1.68865585100401
0.00790000000000001,0.364484313710701,0.267913397489491,1.4579372548428
0.00800000000000001,0.293892626146232,0.154508497187466,1.17557050458492
0.00810000000000001,0.212889645782531,0.0313952597646489,0.851558583130113
0.00820000000000001,0.124344943582423,-0.0936906572928693,0.497379774329677
0.0083,0.0313952597646524,-0.212889645782542,0.125581039058627
0.0084,-0.0626666167821559,-0.318711994874349,-0.250666467128606
0.0085,-0.154508497187478,-0.404508497187477,-0.618033988749897
0.0086,-0.240876837050861,-0.464888242944127,-0.963507348203431
0.0087,-0.318711994874347,-0.496057350657239,-1.27484797949738
0.0088,-0.385256621387896,-0.496057350657239,-1.54102648555158
0.0089,-0.438153340021933,-0.464888242944125,-1.75261336008773
0.009,-0.475528258147577,-0.404508497187473,-1.90211303259031
0.0091,-0.496057350657239,-0.318711994874344,-1.98422940262896
0.0092,-0.499013364214136,-0.212889645782536,-1.99605345685654
0.0093,-0.484291580564316,-0.0936906572928631,-1.93716632225726
0.0094,-0.452413526233011,0.0313952597646552,-1.80965410493204
0.0095,-0.404508497187476,0.154508497187472,-1.6180339887499
0.0096,-0.342273552964347,0.267913397489496,-1.36909421185738
0.0097,-0.267913397489502,0.364484313710703,-1.071653589958
0.0098,-0.184062276342343,0.43815334002193,-0.73624910536936
0.0099,-0.0936906572928674,0.484291580564314,-0.374762629171449
0.01,-5.69646455794496E-15,0.5,-1.46957615897682E-15
0.0101,0.0936906572928562,0.484291580564317,0.374762629171446
0.0102,0.184062276342333,0.438153340021935,0.736249105369357
0.0103,0.267913397489492,0.364484313710711,1.07165358995799
0.0104,0.342273552964339,0.267913397489506,1.36909421185738
0.0105,0.404508497187469,0.154508497187483,1.6180339887499
0.0106,0.452413526233006,0.0313952597646668,1.80965410493204
0.0107,0.484291580564313,-0.0936906572928517,1.93716632225726
0.0108,0.499013364214135,-0.212889645782526,1.99605345685654
0.0109,0.49605735065724,-0.318711994874335,1.98422940262896
0.011,0.47552825814758,-0.404508497187466,1.90211303259031
0.0111,0.438153340021937,-0.464888242944121,1.75261336008773
0.0112,0.385256621387902,-0.496057350657237,1.54102648555158
0.0113,0.318711994874355,-0.496057350657241,1.27484797949739
0.0114,0.240876837050869,-0.464888242944132,0.963507348203433
0.0115,0.154508497187487,-0.404508497187485,0.6180339887499
0.0116,0.0626666167821663,-0.31871199487436,0.250666467128616
0.0117,-0.0313952597646419,-0.212889645782554,-0.125581039058624
0.0118,-0.124344943582413,-0.0936906572928824,-0.497379774329705
0.0119,-0.212889645782522,0.0313952597646355,-0.851558583130146
0.012,-0.293892626146223,0.154508497187453,-1.17557050458495
0.0121,-0.364484313710694,0.267913397489479,-1.45793725484282
0.0122,-0.422163962750998,0.36448431371069,-1.68865585100403
0.0123,-0.464888242944119,0.43815334002192,-1.8595529717765
0.0124,-0.491143625364341,0.484291580564309,-1.96457450145738
0.0125,-0.5,0.5,-2
0.0126,-0.491143625364348,0.484291580564322,-1.96457450145738
0.0127,-0.464888242944133,0.438153340021945,-1.8595529717765
0.0128,-0.422163962751019,0.364484313710725,-1.68865585100403
0.0129,-0.36448431371072,0.267913397489522,-1.45793725484282
0.013,-0.293892626146254,0.154508497187501,-1.17557050458495
